customer_id,Recency,Frequency,Monetary
CUST001,109,12,23498
CUST002,4,113,162206
CUST003,149,1,675
CUST004,238,1,2676
CUST005,1,58,77527
CUST006,481,1,1948
CUST007,4,203,301568
CUST008,212,2,7116
CUST009,146,6,10307
CUST010,19,19,32070
CUST011,88,5,5384
CUST012,9,23,40728
CUST013,236,1,2552
CUST014,608,1,568
CUST015,1,863,1316326
CUST016,51,6,15134
CUST017,10,89,151508
CUST018,55,1,2460
CUST019,488,1,667
CUST020,257,3,5330
CUST021,39,7,8788
CUST022,11,43,56496
CUST023,1,943,1390798
CUST024,1,551,805881
CUST025,3,57,82627
CUST026,294,1,1948
CUST027,3,3,2769
CUST028,121,13,14722
CUST029,4,198,298466
CUST030,273,6,9569
CUST031,544,1,2260
CUST032,843,1,578
CUST033,1,140,209040
CUST034,430,1,320
CUST035,8,99,157332
CUST036,142,10,17557
CUST037,2,254,411518
CUST038,47,8,10188
CUST039,178,6,8720
CUST040,6,111,168754
CUST041,4,310,492462
CUST042,303,1,1652
CUST043,5,131,192628
CUST044,15,139,225765
CUST045,15,36,54940
CUST046,789,1,96
CUST047,453,1,2505
CUST048,79,6,6608
CUST049,2,377,567881
CUST050,21,16,25751
CUST051,163,3,5458
CUST052,25,5,3561
CUST053,3,484,728820
CUST054,12,70,108341
CUST055,5,168,258431
CUST056,1,325,479942
CUST057,4,172,246071
CUST058,83,6,3675
CUST059,63,3,1711
CUST060,2,184,271174
CUST061,244,1,909
CUST062,20,17,22526
CUST063,405,1,2325
CUST064,3,579,937094
CUST065,5,35,68644
CUST066,12,10,11276
CUST067,100,30,40866
CUST068,42,4,17485
CUST069,3,60,93753
CUST070,594,1,1542
CUST071,1,379,586874
CUST072,45,1,1478
CUST073,25,84,134891
CUST074,2,2,3255
CUST075,14,11,16452
CUST076,5,70,100011
CUST077,103,1,510
CUST078,85,7,11717
CUST079,241,1,470
CUST080,5,34,61741
CUST081,6,92,151395
CUST082,2,530,797007
CUST083,113,8,8683
CUST084,3,455,684993
CUST085,49,3,6808
CUST086,2,184,289720
CUST087,40,38,54239
CUST088,287,1,1085
CUST089,1,351,547544
CUST090,10,8,3237
CUST091,9,109,156786
CUST092,1,310,465644
CUST093,605,1,648
CUST094,150,1,888
CUST095,829,1,1600
CUST096,16,42,78783
CUST097,10,77,123024
CUST098,99,8,13295
CUST099,1,75,113012
CUST100,3,78,123106
