transaction_id,date,customer_id,gender,age,product_category,quantity,price_per_unit,total_amount,_computed_total
TXN00001,2023-03-29,CUST001,Male,34,Clothing,4,888,3552,3552
TXN00002,2023-05-31,CUST001,Male,34,Clothing,4,838,3352,3352
TXN00003,2022-01-17,CUST001,Male,34,Clothing,3,201,603,603
TXN00004,2022-02-15,CUST001,Male,34,Clothing,4,229,916,916
TXN00005,2024-01-15,CUST001,Male,34,Electronics,5,527,2635,2635
TXN00006,2022-10-29,CUST001,Male,34,Electronics,5,289,1445,1445
TXN00007,2022-04-26,CUST001,Male,34,Sports,5,616,3080,3080
TXN00008,2022-06-10,CUST001,Male,34,Electronics,5,990,4950,4950
TXN00009,2024-01-05,CUST001,Male,34,Electronics,3,137,411,411
TXN00010,2024-03-02,CUST001,Male,34,Clothing,2,332,664,664
TXN00011,2023-10-25,CUST001,Male,34,Groceries,2,297,594,594
TXN00012,2023-01-21,CUST001,Male,34,Clothing,2,648,1296,1296
TXN00013,2023-01-28,CUST002,Female,26,Beauty,2,794,1588,1588
TXN00014,2023-04-22,CUST002,Female,26,Clothing,3,255,765,765
TXN00015,2024-03-28,CUST002,Female,26,Clothing,2,768,1536,1536
TXN00016,2023-05-21,CUST002,Female,26,Sports,1,417,417,417
TXN00017,2022-11-17,CUST002,Female,26,Beauty,1,45,45,45
TXN00018,2022-04-02,CUST002,Female,26,Clothing,4,892,3568,3568
TXN00019,2024-05-03,CUST002,Female,26,Clothing,2,843,1686,1686
TXN00020,2022-07-09,CUST002,Female,26,Electronics,3,674,2022,2022
TXN00021,2022-12-08,CUST002,Female,26,Groceries,5,159,795,795
TXN00022,2024-02-22,CUST002,Female,26,Electronics,1,701,701,701
TXN00023,2022-09-21,CUST002,Female,26,Clothing,3,453,1359,1359
TXN00024,2022-01-05,CUST002,Female,26,Clothing,5,581,2905,2905
TXN00025,2024-06-02,CUST002,Female,26,Electronics,4,783,3132,3132
TXN00026,2023-10-18,CUST002,Female,26,Electronics,3,832,2496,2496
TXN00027,2023-11-01,CUST002,Female,26,Groceries,5,379,1895,1895
TXN00028,2024-02-26,CUST002,Female,26,Clothing,3,666,1998,1998
TXN00029,2024-01-11,CUST002,Female,26,Electronics,4,67,268,268
TXN00030,2022-05-07,CUST002,Female,26,Electronics,2,126,252,252
TXN00031,2022-02-27,CUST002,Female,26,Clothing,1,917,917,917
TXN00032,2022-04-06,CUST002,Female,26,Clothing,2,522,1044,1044
TXN00033,2024-06-15,CUST002,Female,26,Sports,1,497,497,497
TXN00034,2024-02-29,CUST002,Female,26,Groceries,5,713,3565,3565
TXN00035,2022-06-03,CUST002,Female,26,Electronics,5,256,1280,1280
TXN00036,2022-08-08,CUST002,Female,26,Electronics,3,95,285,285
TXN00037,2024-01-20,CUST002,Female,26,Electronics,5,56,280,280
TXN00038,2022-08-06,CUST002,Female,26,Clothing,4,462,1848,1848
TXN00039,2023-09-04,CUST002,Female,26,Beauty,2,441,882,882
TXN00040,2022-01-23,CUST002,Female,26,Clothing,1,263,263,263
TXN00041,2022-04-10,CUST002,Female,26,Sports,2,531,1062,1062
TXN00042,2024-02-01,CUST002,Female,26,Clothing,2,189,378,378
TXN00043,2022-11-21,CUST002,Female,26,Groceries,3,451,1353,1353
TXN00044,2022-12-02,CUST002,Female,26,Groceries,5,525,2625,2625
TXN00045,2022-06-09,CUST002,Female,26,Beauty,2,506,1012,1012
TXN00046,2023-11-21,CUST002,Female,26,Groceries,3,861,2583,2583
TXN00047,2023-11-22,CUST002,Female,26,Electronics,3,389,1167,1167
TXN00048,2023-07-31,CUST002,Female,26,Groceries,3,622,1866,1866
TXN00049,2023-07-10,CUST002,Female,26,Sports,1,177,177,177
TXN00050,2022-10-29,CUST002,Female,26,Clothing,5,406,2030,2030
TXN00051,2022-02-04,CUST002,Female,26,Electronics,2,262,524,524
TXN00052,2023-08-25,CUST002,Female,26,Clothing,1,99,99,99
TXN00053,2022-07-15,CUST002,Female,26,Clothing,2,124,248,248
TXN00054,2022-03-16,CUST002,Female,26,Clothing,2,510,1020,1020
TXN00055,2022-10-04,CUST002,Female,26,Beauty,5,385,1925,1925
TXN00056,2024-05-18,CUST002,Female,26,Groceries,5,770,3850,3850
TXN00057,2023-11-20,CUST002,Female,26,Beauty,1,929,929,929
TXN00058,2022-04-06,CUST002,Female,26,Clothing,3,557,1671,1671
TXN00059,2023-06-09,CUST002,Female,26,Clothing,5,789,3945,3945
TXN00060,2022-09-30,CUST002,Female,26,Electronics,1,876,876,876
TXN00061,2023-12-30,CUST002,Female,26,Clothing,1,71,71,71
TXN00062,2023-09-04,CUST002,Female,26,Electronics,5,708,3540,3540
TXN00063,2022-03-17,CUST002,Female,26,Sports,4,454,1816,1816
TXN00064,2024-01-05,CUST002,Female,26,Sports,1,464,464,464
TXN00065,2022-05-24,CUST002,Female,26,Clothing,4,860,3440,3440
TXN00066,2022-01-25,CUST002,Female,26,Clothing,5,78,390,390
TXN00067,2023-07-19,CUST002,Female,26,Clothing,4,900,3600,3600
TXN00068,2022-02-11,CUST002,Female,26,Electronics,1,48,48,48
TXN00069,2023-09-26,CUST002,Female,26,Sports,2,944,1888,1888
TXN00070,2022-08-23,CUST002,Female,26,Beauty,5,172,860,860
TXN00071,2022-01-09,CUST002,Female,26,Sports,3,667,2001,2001
TXN00072,2022-09-10,CUST002,Female,26,Groceries,2,963,1926,1926
TXN00073,2024-03-05,CUST002,Female,26,Electronics,5,177,885,885
TXN00074,2022-06-14,CUST002,Female,26,Electronics,2,203,406,406
TXN00075,2024-04-12,CUST002,Female,26,Clothing,3,657,1971,1971
TXN00076,2022-08-05,CUST002,Female,26,Sports,4,666,2664,2664
TXN00077,2022-09-09,CUST002,Female,26,Clothing,5,141,705,705
TXN00078,2022-06-16,CUST002,Female,26,Clothing,3,454,1362,1362
TXN00079,2022-02-08,CUST002,Female,26,Sports,3,723,2169,2169
TXN00080,2022-08-08,CUST002,Female,26,Electronics,3,182,546,546
TXN00081,2024-04-08,CUST002,Female,26,Electronics,2,669,1338,1338
TXN00082,2022-12-14,CUST002,Female,26,Beauty,1,944,944,944
TXN00083,2023-02-13,CUST002,Female,26,Clothing,1,200,200,200
TXN00084,2022-02-27,CUST002,Female,26,Clothing,1,943,943,943
TXN00085,2024-04-08,CUST002,Female,26,Sports,4,694,2776,2776
TXN00086,2022-07-22,CUST002,Female,26,Groceries,5,89,445,445
TXN00087,2023-10-21,CUST002,Female,26,Clothing,4,238,952,952
TXN00088,2022-08-21,CUST002,Female,26,Groceries,4,450,1800,1800
TXN00089,2023-05-28,CUST002,Female,26,Clothing,1,535,535,535
TXN00090,2023-10-18,CUST002,Female,26,Groceries,5,575,2875,2875
TXN00091,2024-01-06,CUST002,Female,26,Clothing,1,980,980,980
TXN00092,2022-01-08,CUST002,Female,26,Groceries,4,417,1668,1668
TXN00093,2023-10-10,CUST002,Female,26,Groceries,2,357,714,714
TXN00094,2024-01-02,CUST002,Female,26,Groceries,2,325,650,650
TXN00095,2023-05-17,CUST002,Female,26,Clothing,5,50,250,250
TXN00096,2023-12-25,CUST002,Female,26,Clothing,1,210,210,210
TXN00097,2023-07-12,CUST002,Female,26,Clothing,5,741,3705,3705
TXN00098,2024-06-01,CUST002,Female,26,Sports,3,262,786,786
TXN00099,2022-01-10,CUST002,Female,26,Sports,5,824,4120,4120
TXN00100,2022-04-29,CUST002,Female,26,Electronics,2,260,520,520
TXN00101,2022-08-12,CUST002,Female,26,Beauty,1,383,383,383
TXN00102,2022-03-04,CUST002,Female,26,Groceries,1,788,788,788
TXN00103,2023-11-20,CUST002,Female,26,Beauty,1,863,863,863
TXN00104,2022-04-09,CUST002,Female,26,Clothing,5,938,4690,4690
TXN00105,2023-06-02,CUST002,Female,26,Electronics,1,414,414,414
TXN00106,2023-10-07,CUST002,Female,26,Groceries,4,986,3944,3944
TXN00107,2023-07-19,CUST002,Female,26,Groceries,3,446,1338,1338
TXN00108,2022-05-25,CUST002,Female,26,Beauty,5,723,3615,3615
TXN00109,2022-01-01,CUST002,Female,26,Clothing,5,87,435,435
TXN00110,2023-03-22,CUST002,Female,26,Groceries,3,694,2082,2082
TXN00111,2022-02-03,CUST002,Female,26,Beauty,1,890,890,890
TXN00112,2022-06-03,CUST002,Female,26,Electronics,4,104,416,416
TXN00113,2024-02-10,CUST002,Female,26,Clothing,2,683,1366,1366
TXN00114,2022-02-23,CUST002,Female,26,Beauty,3,315,945,945
TXN00115,2024-02-02,CUST002,Female,26,Electronics,4,398,1592,1592
TXN00116,2022-10-30,CUST002,Female,26,Electronics,1,410,410,410
TXN00117,2022-03-16,CUST002,Female,26,Groceries,5,862,4310,4310
TXN00118,2024-02-03,CUST002,Female,26,Electronics,3,112,336,336
TXN00119,2024-04-29,CUST002,Female,26,Groceries,2,815,1630,1630
TXN00120,2022-11-04,CUST002,Female,26,Sports,3,444,1332,1332
TXN00121,2022-12-01,CUST002,Female,26,Clothing,1,175,175,175
TXN00122,2023-07-17,CUST002,Female,26,Groceries,4,551,2204,2204
TXN00123,2022-05-18,CUST002,Female,26,Beauty,1,142,142,142
TXN00124,2024-05-01,CUST002,Female,26,Beauty,1,339,339,339
TXN00125,2023-03-26,CUST002,Female,26,Groceries,5,555,2775,2775
TXN00126,2024-01-22,CUST003,Male,50,Clothing,5,135,675,675
TXN00127,2023-10-25,CUST004,Male,37,Clothing,3,892,2676,2676
TXN00128,2024-06-18,CUST005,Male,30,Groceries,3,383,1149,1149
TXN00129,2024-05-13,CUST005,Male,30,Clothing,4,705,2820,2820
TXN00130,2022-03-02,CUST005,Male,30,Groceries,3,676,2028,2028
TXN00131,2022-01-05,CUST005,Male,30,Electronics,2,60,120,120
TXN00132,2023-06-18,CUST005,Male,30,Electronics,2,613,1226,1226
TXN00133,2022-08-21,CUST005,Male,30,Electronics,5,847,4235,4235
TXN00134,2022-03-19,CUST005,Male,30,Beauty,4,355,1420,1420
TXN00135,2024-03-04,CUST005,Male,30,Electronics,2,822,1644,1644
TXN00136,2022-08-27,CUST005,Male,30,Clothing,1,56,56,56
TXN00137,2022-12-03,CUST005,Male,30,Electronics,3,840,2520,2520
TXN00138,2023-09-17,CUST005,Male,30,Beauty,2,813,1626,1626
TXN00139,2022-10-30,CUST005,Male,30,Sports,3,262,786,786
TXN00140,2022-08-04,CUST005,Male,30,Electronics,2,37,74,74
TXN00141,2023-11-30,CUST005,Male,30,Electronics,2,374,748,748
TXN00142,2024-01-20,CUST005,Male,30,Groceries,3,16,48,48
TXN00143,2022-10-01,CUST005,Male,30,Electronics,3,760,2280,2280
TXN00144,2022-01-15,CUST005,Male,30,Clothing,2,815,1630,1630
TXN00145,2023-12-15,CUST005,Male,30,Electronics,1,640,640,640
TXN00146,2023-04-19,CUST005,Male,30,Electronics,1,282,282,282
TXN00147,2022-07-31,CUST005,Male,30,Beauty,4,546,2184,2184
TXN00148,2022-08-21,CUST005,Male,30,Electronics,1,589,589,589
TXN00149,2022-04-21,CUST005,Male,30,Electronics,5,155,775,775
TXN00150,2023-01-04,CUST005,Male,30,Groceries,2,632,1264,1264
TXN00151,2023-09-05,CUST005,Male,30,Electronics,4,604,2416,2416
TXN00152,2023-03-19,CUST005,Male,30,Clothing,4,291,1164,1164
TXN00153,2023-01-12,CUST005,Male,30,Electronics,3,886,2658,2658
TXN00154,2023-12-11,CUST005,Male,30,Electronics,1,446,446,446
TXN00155,2024-04-09,CUST005,Male,30,Electronics,4,359,1436,1436
TXN00156,2023-06-27,CUST005,Male,30,Electronics,1,768,768,768
TXN00157,2022-01-06,CUST005,Male,30,Sports,5,557,2785,2785
TXN00158,2022-01-04,CUST005,Male,30,Sports,2,477,954,954
TXN00159,2023-07-28,CUST005,Male,30,Electronics,1,615,615,615
TXN00160,2023-01-27,CUST005,Male,30,Clothing,1,203,203,203
TXN00161,2023-10-07,CUST005,Male,30,Beauty,2,444,888,888
TXN00162,2023-12-25,CUST005,Male,30,Groceries,2,127,254,254
TXN00163,2023-07-13,CUST005,Male,30,Electronics,1,541,541,541
TXN00164,2023-07-04,CUST005,Male,30,Groceries,1,99,99,99
TXN00165,2024-05-17,CUST005,Male,30,Electronics,5,903,4515,4515
TXN00166,2023-11-21,CUST005,Male,30,Electronics,5,268,1340,1340
TXN00167,2022-06-21,CUST005,Male,30,Electronics,2,270,540,540
