Transaction_ID,Date,Customer_ID,Gender,Age,Product_Category,Quantity,Price_Per_Unit,Total_Amount
TXN0001,2024-05-31,CUST461,Female,18,Home_Decor,5,107,535
TXN0002,2023-09-15,CUST922,Male,41,Home_Decor,4,60,240
TXN0003,2023-09-22,CUST720,Female,56,Clothing_Women,3,76,228
TXN0004,2023-09-27,CUST343,Male,21,Clothing_Women,2,33,66
TXN0005,2022-09-05,CUST515,Female,49,Home_Decor,2,70,140
TXN0006,2022-09-14,CUST075,Male,61,Home_Decor,1,86,86
TXN0007,2023-09-12,CUST678,Female,60,Beauty,1,48,48
TXN0008,2022-10-22,CUST928,Female,35,Clothing_Women,2,96,192
TXN0009,2022-03-03,CUST517,Female,47,Clothing_Men,5,86,430
TXN0010,2023-09-21,CUST453,Female,26,Electronics,5,398,1990
TXN0011,2024-01-18,CUST917,Female,57,Electronics,5,877,4385
TXN0012,2023-05-19,CUST041,Male,34,Clothing_Women,3,26,78
TXN0013,2022-03-26,CUST598,Male,37,Electronics,4,724,2896
TXN0014,2023-08-14,CUST985,Female,19,Kitchen_Utensils,1,55,55
TXN0015,2023-01-20,CUST445,Female,53,Beauty,2,67,134
TXN0016,2023-04-22,CUST349,Female,57,Clothing_Women,2,91,182
TXN0017,2023-04-14,CUST631,Male,56,Sports,2,175,350
TXN0018,2022-11-11,CUST909,Male,26,Kitchen_Utensils,1,58,58
TXN0019,2022-01-31,CUST464,Male,38,Electronics,2,851,1702
TXN0020,2022-09-08,CUST363,Male,64,Beauty,1,33,33
TXN0021,2023-04-01,CUST344,Female,42,Sports,3,80,240
TXN0022,2023-11-29,CUST842,Female,47,Beauty,3,36,108
TXN0023,2022-03-02,CUST119,Female,60,Clothing_Women,3,37,111
TXN0024,2023-09-01,CUST258,Female,37,Clothing_Women,4,40,160
TXN0025,2023-12-14,CUST234,Female,62,Home_Decor,2,59,118
TXN0026,2023-03-06,CUST189,Male,63,Clothing_Men,4,38,152
TXN0027,2024-03-08,CUST507,Female,37,Beauty,5,15,75
TXN0028,2023-08-26,CUST279,Male,50,Home_Decor,4,104,416
TXN0029,2023-07-01,CUST488,Female,51,Sports,4,72,288
TXN0030,2023-09-01,CUST642,Female,54,Books,1,16,16
TXN0031,2024-06-18,CUST103,Female,59,Clothing_Women,2,40,80
TXN0032,2024-04-04,CUST416,Male,53,Kitchen_Utensils,2,71,142
TXN0033,2022-05-22,CUST729,Male,29,Books,5,13,65
TXN0034,2024-04-01,CUST834,Female,56,Kitchen_Utensils,1,31,31
TXN0035,2022-04-29,CUST225,Female,57,Beauty,4,10,40
TXN0036,2024-02-01,CUST321,Female,26,Books,4,28,112
TXN0037,2023-10-19,CUST295,Female,27,Clothing_Men,3,83,249
TXN0038,2022-02-18,CUST210,Male,37,Kitchen_Utensils,4,78,312
TXN0039,2023-02-26,CUST181,Male,19,Electronics,5,508,2540
TXN0040,2022-07-30,CUST247,Male,41,Clothing_Men,3,63,189
TXN0041,2022-12-13,CUST068,Male,25,Books,5,12,60
TXN0042,2023-09-14,CUST864,Female,51,Beauty,5,36,180
TXN0043,2022-01-07,CUST195,Male,52,Clothing_Men,3,82,246
TXN0044,2022-06-23,CUST794,Female,60,Home_Decor,5,54,270
TXN0045,2023-03-19,CUST852,Female,41,Clothing_Women,1,43,43
TXN0046,2024-02-10,CUST776,Male,35,Beauty,2,20,40
TXN0047,2023-12-21,CUST471,Male,32,Electronics,3,982,2946
TXN0048,2023-04-12,CUST318,Male,61,Home_Decor,1,97,97
TXN0049,2024-03-27,CUST991,Female,34,Home_Decor,2,35,70
TXN0050,2023-02-24,CUST607,Male,54,Kitchen_Utensils,2,36,72
TXN0051,2024-03-14,CUST461,Female,18,Electronics,2,805,1610
TXN0052,2022-10-01,CUST922,Male,41,Electronics,3,712,2136
TXN0053,2022-02-23,CUST720,Female,56,Clothing_Women,4,92,368
TXN0054,2023-02-27,CUST343,Male,21,Clothing_Men,5,70,350
TXN0055,2022-08-10,CUST515,Female,49,Books,5,30,150
TXN0056,2023-07-02,CUST075,Male,61,Books,4,28,112
TXN0057,2023-07-10,CUST678,Female,60,Books,5,36,180
TXN0058,2024-03-05,CUST928,Female,35,Sports,5,95,475
TXN0059,2023-09-09,CUST517,Female,47,Kitchen_Utensils,5,59,295
TXN0060,2022-09-03,CUST453,Female,26,Beauty,4,37,148
TXN0061,2023-04-11,CUST917,Female,57,Clothing_Women,1,55,55
TXN0062,2022-02-27,CUST041,Male,34,Electronics,4,288,1152
TXN0063,2022-01-21,CUST598,Male,37,Sports,3,143,429
TXN0064,2023-11-23,CUST985,Female,19,Kitchen_Utensils,5,44,220
TXN0065,2022-07-04,CUST445,Female,53,Kitchen_Utensils,3,50,150
TXN0066,2022-09-16,CUST349,Female,57,Clothing_Women,5,34,170
TXN0067,2022-11-20,CUST631,Male,56,Clothing_Men,5,23,115
TXN0068,2023-11-11,CUST909,Male,26,Home_Decor,2,41,82
TXN0069,2023-06-22,CUST464,Male,38,Electronics,1,403,403
TXN0070,2024-01-08,CUST363,Male,64,Clothing_Men,2,21,42
TXN0071,2024-05-30,CUST344,Female,42,Home_Decor,4,27,108
TXN0072,2022-05-25,CUST842,Female,47,Home_Decor,3,78,234
TXN0073,2023-01-23,CUST119,Female,60,Kitchen_Utensils,5,27,135
TXN0074,2023-04-09,CUST258,Female,37,Books,2,45,90
TXN0075,2022-07-15,CUST234,Female,62,Home_Decor,1,22,22
TXN0076,2024-02-04,CUST189,Male,63,Clothing_Men,1,22,22
TXN0077,2022-05-10,CUST507,Female,37,Beauty,5,17,85
TXN0078,2024-03-26,CUST279,Male,50,Sports,2,162,324
TXN0079,2022-09-29,CUST488,Female,51,Kitchen_Utensils,2,38,76
TXN0080,2022-08-29,CUST642,Female,54,Beauty,3,32,96
TXN0081,2024-06-09,CUST103,Female,59,Kitchen_Utensils,4,36,144
TXN0082,2022-08-03,CUST416,Male,53,Electronics,2,754,1508
TXN0083,2022-06-21,CUST729,Male,29,Kitchen_Utensils,3,34,102
TXN0084,2023-12-03,CUST834,Female,56,Kitchen_Utensils,5,53,265
TXN0085,2023-04-11,CUST225,Female,57,Kitchen_Utensils,4,47,188
TXN0086,2022-01-30,CUST321,Female,26,Sports,2,144,288
TXN0087,2023-08-30,CUST295,Female,27,Home_Decor,1,100,100
TXN0088,2022-07-24,CUST210,Male,37,Electronics,1,260,260
TXN0089,2022-02-26,CUST181,Male,19,Home_Decor,5,60,300
TXN0090,2023-12-06,CUST247,Male,41,Clothing_Men,4,66,264
TXN0091,2024-03-25,CUST068,Male,25,Beauty,2,45,90
TXN0092,2022-08-27,CUST864,Female,51,Sports,5,50,250
TXN0093,2023-07-15,CUST195,Male,52,Books,4,10,40
TXN0094,2022-06-10,CUST794,Female,60,Kitchen_Utensils,1,37,37
TXN0095,2024-02-22,CUST852,Female,41,Beauty,4,49,196
TXN0096,2023-12-19,CUST776,Male,35,Clothing_Women,3,58,174
TXN0097,2024-01-30,CUST471,Male,32,Electronics,4,631,2524
TXN0098,2024-06-08,CUST318,Male,61,Clothing_Men,1,89,89
TXN0099,2023-04-23,CUST991,Female,34,Home_Decor,2,44,88
TXN0100,2023-08-08,CUST607,Male,54,Clothing_Women,4,58,232
TXN0101,2023-07-17,CUST461,Female,18,Home_Decor,3,75,225
TXN0102,2023-10-31,CUST922,Male,41,Electronics,2,836,1672
TXN0103,2023-09-15,CUST720,Female,56,Sports,5,90,450
TXN0104,2022-01-15,CUST343,Male,21,Sports,3,37,111
TXN0105,2023-06-22,CUST515,Female,49,Clothing_Women,5,83,415
TXN0106,2024-05-12,CUST075,Male,61,Electronics,5,592,2960
TXN0107,2023-11-19,CUST678,Female,60,Clothing_Women,3,87,261
TXN0108,2023-08-19,CUST928,Female,35,Books,4,15,60
TXN0109,2023-08-16,CUST517,Female,47,Electronics,5,467,2335
TXN0110,2023-11-26,CUST453,Female,26,Sports,4,176,704
TXN0111,2022-03-21,CUST917,Female,57,Beauty,4,49,196
TXN0112,2022-05-03,CUST041,Male,34,Clothing_Men,3,55,165
TXN0113,2022-07-04,CUST598,Male,37,Beauty,2,35,70
TXN0114,2022-03-16,CUST985,Female,19,Kitchen_Utensils,2,77,154
